,Actb,Gadph,Metabolic process,#Detected Genes,Mapping rate
ola_mES_2i_3_10.counts,0.009878049,0.000118894,0.022935845,10777,0.68239376
ola_mES_2i_3_11.counts,0.006379609,0.000169064,0.030899794,10326,0.737001759
ola_mES_2i_3_12.counts,0.011300837,0.000128023,0.026993481,10978,0.76638768
ola_mES_2i_3_13.counts,0.011978608,0.000163995,0.027786091,11369,0.757181278
ola_mES_2i_3_14.counts,0.00960384,1.36E-05,0.017038966,9650,0.621241659
ola_mES_2i_3_15.counts,0.008322027,0.000120568,0.028385561,11268,0.775417841
ola_mES_2i_3_16.counts,0.006355,0.000188869,0.030119848,10708,0.74274586
ola_mES_2i_3_17.counts,0.008175456,0.000159491,0.028539593,10225,0.705067459
ola_mES_2i_3_18.counts,0.009758219,0.000188667,0.029721282,9755,0.712197748
ola_mES_2i_3_19.counts,0.006817165,0.000183168,0.030515722,11682,0.764686208
ola_mES_2i_3_2.counts,0.008334984,0.00017315,0.028625497,10701,0.707508948
ola_mES_2i_3_20.counts,0.005611638,0.000116148,0.028990418,11282,0.765047287
ola_mES_2i_3_21.counts,0.00768637,0.000100553,0.019523255,10007,0.641497989
ola_mES_2i_3_22.counts,0.00853298,1.16E-05,0.020080014,8480,0.547666983
ola_mES_2i_3_23.counts,0.007184914,0.000124877,0.02666521,10331,0.696646786
ola_mES_2i_3_24.counts,0.006255259,2.16E-05,0.018374148,9759,0.602359874
ola_mES_2i_3_25.counts,0.004665963,0.000106291,0.025327364,11347,0.774423421
ola_mES_2i_3_26.counts,0.004758678,0.000148911,0.028351259,10000,0.690901674
ola_mES_2i_3_27.counts,0.006466323,1.28E-06,0.015014577,9546,0.618545738
ola_mES_2i_3_28.counts,0.005441258,0.000196297,0.032941697,10037,0.691232756
ola_mES_2i_3_29.counts,0.005635392,2.39E-05,0.015465966,8926,0.586218925
ola_mES_2i_3_3.counts,0.007031625,8.45E-06,0.017161775,10352,0.626489955
ola_mES_2i_3_30.counts,0.008920165,0.000163192,0.025319461,11541,0.770708126
ola_mES_2i_3_31.counts,0.00402016,0.00015009,0.031859088,10272,0.709203883
ola_mES_2i_3_32.counts,0.004680717,4.11E-06,0.015767306,8406,0.591613566
ola_mES_2i_3_33.counts,0.004259763,8.08E-05,0.022066085,10869,0.737387892
ola_mES_2i_3_34.counts,0.007579822,1.85E-05,0.025719202,8150,0.547166328
ola_mES_2i_3_35.counts,0.004477639,0.000390876,0.019431854,8659,0.539173924
ola_mES_2i_3_36.counts,0.00621413,0.000282286,0.025956664,10641,0.732303607
ola_mES_2i_3_37.counts,0.005896602,0.000158214,0.028991767,10933,0.728862207
ola_mES_2i_3_38.counts,0.003867629,0.000132846,0.025386147,10709,0.72196353
ola_mES_2i_3_39.counts,0.002387611,7.69E-05,0.01999265,10235,0.691703837
ola_mES_2i_3_4.counts,0.007213364,0.000156687,0.02807728,10412,0.700579142
ola_mES_2i_3_40.counts,0.004429893,7.69E-05,0.01471274,9521,0.576694068
ola_mES_2i_3_41.counts,0.006512019,0.000170175,0.027302697,11224,0.77239805
ola_mES_2i_3_42.counts,0.004151862,0.000269047,0.029142124,10370,0.692447291
ola_mES_2i_3_43.counts,0.006642626,0.000140712,0.029778039,10386,0.730557534
ola_mES_2i_3_44.counts,0.004599396,8.53E-06,0.02062798,9706,0.647648172
ola_mES_2i_3_45.counts,0.004586523,7.91E-05,0.026478652,9712,0.680920521
ola_mES_2i_3_46.counts,0.006252478,0.000142681,0.031115725,9983,0.725539765
ola_mES_2i_3_47.counts,0.005338329,8.31E-05,0.028444881,10485,0.743369428
ola_mES_2i_3_48.counts,0.006289192,9.44E-05,0.018389457,9724,0.651988538
ola_mES_2i_3_49.counts,0.00387216,0.000202513,0.032059429,10865,0.72585044
ola_mES_2i_3_5.counts,0.004556268,0.000185558,0.029926491,10532,0.766910333
ola_mES_2i_3_50.counts,0.004618307,0.000371154,0.019994055,9780,0.651499929
ola_mES_2i_3_51.counts,0.004953654,0.000147693,0.023610443,11324,0.728595843
ola_mES_2i_3_52.counts,0.010013571,0.000175532,0.028758388,11090,0.752484567
ola_mES_2i_3_53.counts,0.004406453,0.000196064,0.010569726,7845,0.550665418
ola_mES_2i_3_54.counts,0.011262301,0.000101846,0.023104604,9570,0.628674754
ola_mES_2i_3_55.counts,0.005186112,0.000127592,0.024694066,11283,0.735673086
ola_mES_2i_3_56.counts,0.006819772,0.000130854,0.028104826,11034,0.763488789
ola_mES_2i_3_57.counts,0.004732219,8.03E-05,0.027202917,10181,0.737674973
ola_mES_2i_3_58.counts,0.003503623,0.000141857,0.028295955,10066,0.733338335
ola_mES_2i_3_59.counts,0.005132198,1.32E-06,0.012962991,7877,0.615764415
ola_mES_2i_3_6.counts,0.009923998,0.000145051,0.026692287,11363,0.750096099
ola_mES_2i_3_60.counts,0.006292804,0.000183103,0.018732219,8677,0.561415623
ola_mES_2i_3_61.counts,0.006476366,5.86E-05,0.019954731,10474,0.641020982
ola_mES_2i_3_62.counts,0.007383562,0.00022381,0.031807717,10729,0.710662151
ola_mES_2i_3_63.counts,0.007101363,0.000116416,0.021062943,9796,0.620101938
ola_mES_2i_3_64.counts,0.009324118,0.00013937,0.022973484,10160,0.614864271
ola_mES_2i_3_65.counts,0.006123432,0.000110056,0.027148327,10685,0.747782301
ola_mES_2i_3_66.counts,0.005026049,0.000114317,0.027882213,9618,0.633844707
ola_mES_2i_3_67.counts,0.005885417,6.07E-06,0.022965269,9426,0.643636303
ola_mES_2i_3_68.counts,0.004133032,2.65E-05,0.018597088,9677,0.656885858
ola_mES_2i_3_69.counts,0.00901176,8.42E-05,0.017751581,8680,0.595810453
ola_mES_2i_3_7.counts,0.006083411,8.09E-05,0.029739321,11181,0.732944093
ola_mES_2i_3_70.counts,0.005611208,8.71E-05,0.015550383,7448,0.556956066
ola_mES_2i_3_71.counts,0.002378636,4.63E-05,0.010456729,4063,0.526249959
ola_mES_2i_3_72.counts,0.00386663,0.000301868,0.019844006,9027,0.587857125
ola_mES_2i_3_73.counts,0.006486798,0.000172658,0.026073237,11787,0.75603185
ola_mES_2i_3_74.counts,0.003746425,7.10E-05,0.016440351,11137,0.683470278
ola_mES_2i_3_75.counts,0.005104627,5.57E-05,0.016777883,12994,0.700598199
ola_mES_2i_3_76.counts,0.005808466,0.000238951,0.025781473,10885,0.748369344
ola_mES_2i_3_77.counts,0.006525161,9.58E-05,0.027992243,10091,0.73185689
ola_mES_2i_3_78.counts,0.006444745,0.000239976,0.030486046,10222,0.671679318
ola_mES_2i_3_79.counts,0.007144654,0.000121694,0.029440798,11783,0.747229147
ola_mES_2i_3_8.counts,0.006635175,0.000123107,0.025322223,10360,0.733372995
ola_mES_2i_3_80.counts,0.00780206,0.000160313,0.026999281,10811,0.727129095
ola_mES_2i_3_81.counts,0.006228381,2.69E-05,0.018221758,8732,0.625394219
ola_mES_2i_3_82.counts,0.006475752,0.000180022,0.030454203,10270,0.726511995
ola_mES_2i_3_83.counts,0.00733439,8.41E-05,0.02510882,11073,0.742755244
ola_mES_2i_3_84.counts,0.006606559,0.000116186,0.032259311,10971,0.758343623
ola_mES_2i_3_85.counts,0.009115805,1.06E-05,0.020294306,9166,0.589794723
ola_mES_2i_3_86.counts,0.006125679,3.28E-05,0.022101415,9401,0.601254389
ola_mES_2i_3_87.counts,0.007283153,0.000118675,0.023679846,11073,0.724973541
ola_mES_2i_3_88.counts,0.012642033,0.00011994,0.026802477,9942,0.730829793
ola_mES_2i_3_89.counts,0.006403668,0.000195695,0.018615696,9494,0.614810168
ola_mES_2i_3_9.counts,0.010078383,0.000213949,0.018920023,9048,0.601734943
ola_mES_2i_3_90.counts,0.007091077,0.000113668,0.031716525,9392,0.722123232
ola_mES_2i_3_91.counts,0.005046171,7.64E-05,0.027236965,10933,0.750290649
ola_mES_2i_3_92.counts,0.008437778,0.000117582,0.025582315,10621,0.733503996
ola_mES_2i_3_93.counts,0.002886329,6.63E-05,0.016215656,11538,0.724249154
