,Mapped,Detected genes,Metabolic Process,Actb,Gadph,Quality
ola_mES_2i_3_22.counts,0.6027186191371837,0.5513543134491937,0.23538579315512678,0.15776942596596238,0.018610262597222576,0
ola_mES_2i_3_23.counts,0.782347265730434,0.6962580241114764,0.3138862957937261,0.1326294612161366,0.20034428985804864,1
ola_mES_2i_3_24.counts,0.6686631954540297,0.6514795678722405,0.21505058393218232,0.11529240655449594,0.03465359242241446,0
ola_mES_2i_3_25.counts,0.8761244851943851,0.7757945827462033,0.29793816251826405,0.08565376466527158,0.170526157044947,1
ola_mES_2i_3_26.counts,0.7754202415814853,0.6703460153436668,0.3339852714314,0.08738279857887826,0.23890282875991478,1
ola_mES_2i_3_27.counts,0.6881788934594997,0.6348050728041333,0.17500196394424852,0.11922852060229272,0.0020535462176245606,0
ola_mES_2i_3_28.counts,0.7758194353673125,0.6732425238766244,0.3887067543350716,0.10011217320811458,0.314925751469569,1
ola_mES_2i_3_29.counts,0.6492016525789818,0.586268983873493,0.18038286124564012,0.10373256116889888,0.03834355828220858,0
ola_mES_2i_3_3.counts,0.6977574330951918,0.6979019884139659,0.20059818344395594,0.1297707880825244,0.013556613702287139,0
ola_mES_2i_3_30.counts,0.8716448617883543,0.7909816815406294,0.297843952798105,0.16499000511539666,0.26181430808327133,1
ola_mES_2i_3_31.counts,0.797487669287352,0.6916392672616252,0.37580123859019915,0.07361024108754488,0.2407943373463049,1
ola_mES_2i_3_32.counts,0.6557061051435115,0.5455612963832785,0.1839750613054585,0.08592891071889132,0.006593808558153861,0
ola_mES_2i_3_33.counts,0.8314698285485104,0.7383748238609676,0.2590612572986307,0.07807857644646092,0.12963010498755037,1
ola_mES_2i_3_34.counts,0.6021149669759567,0.5255205886957883,0.3026091669884277,0.1399940659160728,0.029680160176604974,0
ola_mES_2i_3_35.counts,0.5924783270782218,0.5653671520275559,0.22765923713610553,0.08214172688555889,0.62709525887517,0
ola_mES_2i_3_36.counts,0.8253395799171281,0.7205260685767966,0.3054398931137498,0.11452539543620084,0.4528807403034114,1
